island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
,37.9,18.6,172.0,3150.0,
,36.0,18.5,186.0,3100.0,
,59.6,17.0,230.0,6050.0,
,45.8,18.9,197.0,4150.0,
,50.1,15.0,225.0,5000.0,
,36.0,17.1,187.0,3700.0,
,43.1,19.2,197.0,3500.0,
,46.7,15.3,219.0,5200.0,
,34.0,17.1,185.0,3400.0,
,47.7,15.0,216.0,4750.0,
,46.1,18.2,178.0,3250.0,
,46.4,15.6,221.0,5000.0,
,51.3,19.2,193.0,3650.0,
,45.2,16.4,223.0,5950.0,
,46.1,15.1,215.0,5100.0,
,43.3,13.4,209.0,4400.0,
,51.7,20.3,194.0,3775.0,
,46.5,13.5,210.0,4550.0,
,41.1,17.5,190.0,3900.0,
,44.1,19.7,196.0,4400.0,
,46.3,15.8,215.0,5050.0,
,49.3,19.9,203.0,4050.0,
,49.2,18.2,195.0,4400.0,
,35.7,17.0,189.0,3350.0,
,45.2,16.6,191.0,3250.0,
,51.5,18.7,187.0,3250.0,
,41.4,18.5,202.0,3875.0,
,43.3,14.0,208.0,4575.0,
,49.8,15.9,229.0,5950.0,
,47.5,15.0,218.0,4950.0,
,46.4,18.6,190.0,3450.0,
,46.8,15.4,215.0,5150.0,
,45.5,13.7,214.0,4650.0,
,46.0,18.9,195.0,4150.0,
,49.2,15.2,221.0,6300.0,
,40.3,18.0,195.0,3250.0,
,37.7,19.8,198.0,3500.0,
,49.5,19.0,200.0,3800.0,
,50.4,15.3,224.0,5550.0,
,38.8,17.6,191.0,3275.0,
,53.4,15.8,219.0,5500.0,
,51.1,16.3,220.0,6000.0,
,37.5,18.5,199.0,4475.0,
,34.6,17.2,189.0,3200.0,
,36.4,17.0,195.0,3325.0,
,38.9,18.8,190.0,3600.0,
,45.8,14.2,219.0,4700.0,
,42.2,19.5,197.0,4275.0,
,52.0,20.7,210.0,4800.0,
,49.5,16.2,229.0,5800.0,
,39.7,17.9,193.0,4250.0,
,46.9,16.6,192.0,2700.0,
,46.2,14.5,209.0,4800.0,
,39.6,17.7,186.0,3500.0,
,50.8,15.7,226.0,5200.0,
,39.7,18.4,190.0,3900.0,
,49.1,14.5,212.0,4625.0,
,41.1,18.1,205.0,4300.0,
,49.0,19.5,210.0,3950.0,
,40.9,16.8,191.0,3700.0,
,52.0,18.1,201.0,4050.0,
,42.5,20.7,197.0,4500.0,
,36.5,18.0,182.0,3150.0,
,40.9,18.9,184.0,3900.0,
,46.7,17.9,195.0,3300.0,
,36.0,17.8,195.0,3450.0,
,42.8,14.2,209.0,4700.0,
,40.2,20.1,200.0,3975.0,
,45.0,15.4,220.0,5050.0,
,40.6,18.8,193.0,3800.0,
,41.0,20.0,203.0,4725.0,
,49.6,16.0,225.0,5700.0,
,42.5,16.7,187.0,3350.0,
,50.2,18.8,202.0,3800.0,
,44.1,18.0,210.0,4000.0,
,41.1,19.0,182.0,3425.0,
,40.8,18.9,208.0,4300.0,
,50.5,15.9,225.0,5400.0,
,51.9,19.5,206.0,3950.0,
,32.1,15.5,188.0,3050.0,
,37.2,18.1,178.0,3900.0,
,44.5,15.7,217.0,4875.0,
,36.6,18.4,184.0,3475.0,
,45.1,14.5,207.0,5050.0,
,39.1,18.7,181.0,3750.0,
,51.3,14.2,218.0,5300.0,
,46.4,15.0,216.0,4700.0,
,52.2,17.1,228.0,5400.0,
,38.6,17.2,199.0,3750.0,
,50.1,17.9,190.0,3400.0,
,48.6,16.0,230.0,5800.0,
,47.6,14.5,215.0,5400.0,
,50.2,18.7,198.0,3775.0,
,43.2,19.0,197.0,4775.0,
,52.0,19.0,197.0,4150.0,
,37.9,18.6,193.0,2925.0,
,40.8,18.4,195.0,3900.0,
,45.3,13.7,210.0,4300.0,
,41.1,19.1,188.0,4100.0,
,52.7,19.8,197.0,3725.0,
,42.0,19.5,200.0,4050.0,
,49.1,14.8,220.0,5150.0,
,49.1,15.0,228.0,5500.0,
,38.7,19.0,195.0,3450.0,
,46.8,14.3,215.0,4850.0,
,42.5,17.3,187.0,3350.0,
,43.4,14.4,218.0,4600.0,
,39.5,17.8,188.0,3300.0,
,45.2,15.8,215.0,5300.0,
,42.0,13.5,210.0,4150.0,
,48.7,15.1,222.0,5350.0,
,39.3,20.6,190.0,3650.0,
,39.0,17.1,191.0,3050.0,
,42.2,18.5,180.0,3550.0,
,42.6,13.7,213.0,4950.0,
,50.3,20.0,197.0,3300.0,
,49.6,15.0,216.0,4750.0,
,46.5,14.8,217.0,5200.0,
,50.0,15.3,220.0,5550.0,
,37.3,16.8,192.0,3000.0,
,35.9,16.6,190.0,3050.0,
,50.0,16.3,230.0,5700.0,
,40.6,17.2,187.0,3475.0,
,38.1,17.6,187.0,3425.0,
,38.6,21.2,191.0,3800.0,
,33.5,19.0,190.0,3600.0,
,46.0,21.5,194.0,4200.0,
,46.6,17.8,193.0,3800.0,
,39.6,18.8,190.0,4600.0,
,44.5,14.7,214.0,4850.0,
,43.2,14.5,208.0,4450.0,
,48.7,14.1,210.0,4450.0,
,45.2,13.8,215.0,4750.0,
,46.5,14.5,213.0,4400.0,
,46.8,16.5,189.0,3650.0,
,50.8,19.0,210.0,4100.0,
,45.5,14.5,212.0,4750.0,
,44.0,13.6,208.0,4350.0,
,46.2,14.1,217.0,4375.0,
,49.5,16.1,224.0,5650.0,
,43.8,13.9,208.0,4300.0,
,52.2,18.8,197.0,3450.0,
,50.5,19.6,201.0,4050.0,
,42.3,21.2,191.0,4150.0,
,50.0,15.2,218.0,5700.0,
,50.9,17.9,196.0,3675.0,
,45.5,13.9,210.0,4200.0,
,45.6,20.3,191.0,4600.0,
,37.6,19.1,194.0,3750.0,
,39.5,17.4,186.0,3800.0,
,41.4,18.6,191.0,3700.0,
,36.3,19.5,190.0,3800.0,
,45.6,19.4,194.0,3525.0,
,39.8,19.1,184.0,4650.0,
,46.6,14.2,210.0,4850.0,
,40.3,18.5,196.0,4350.0,
,36.5,16.6,181.0,2850.0,
,48.5,14.1,220.0,5300.0,
,48.2,14.3,210.0,4600.0,
,34.4,18.4,184.0,3325.0,
,36.2,17.3,187.0,3300.0,
,45.3,13.8,208.0,4200.0,
,42.4,17.3,181.0,3600.0,
,48.8,16.2,222.0,6000.0,
,40.2,17.1,193.0,3400.0,
,50.5,15.2,216.0,5000.0,
